,RandomID,Seqplates
1001,2110294,5_B2
1002,2111023,11_G3
1003,2114373,8_F3
1004,2117455,18_A10
1005,2123381,17_F4
1006,2124642,11_F7
1007,2148319,11_E5
1008,2156698,2_E4
1009,2156698,8_G3
1010,2156698,12_D2
1011,2156698,15_D12
1012,2160325,18_D6
1013,2164621,23_H10
1014,2164621,15_D8
1015,2169768,25_D9
1016,2177398,11_D9
1017,2193623,8_H3
1018,2201371,17_H10
1019,2205530,15_A4
1020,2205935,18_C9
1021,2230349,18_A4
1022,2255876,13_G10
1023,2255876,21_C2
1024,2264025,11_C7
1025,2264025,24_H7
1026,2268421,9_F9
1027,2269344,14_C2
1028,2279361,19_C3
1029,2281873,12_F12
1030,2292095,8_G6
1031,2292864,15_B3
1032,2293971,16_H6
1033,2306505,11_C4
1034,2311426,10_D8
1035,2328178,13_F9
1036,2332461,10_G12
1037,2338953,16_C8
1038,2343011,11_A1
1039,2350210,17_D2
1040,2362585,6_H1
1041,2364084,8_A4
1042,2385732,24_C10
1043,2395687,17_H7
1044,2406417,13_G11
1045,2416283,14_H10
1046,2425011,8_C4
1047,2444448,24_H9
1048,2451314,19_A6
1049,2457262,9_B12
1050,2457741,18_C8
1051,2462465,6_D5
1052,2463019,8_E4
1053,2463373,11_A4
1054,2464680,18_F3
1055,2467961,13_A8
1056,2476284,8_G4
1057,2476926,8_A5
1058,2480953,17_B6
1059,2487093,15_A1
1060,2489591,11_G5
1061,2490602,15_H5
1062,2503507,1_H5
1063,2504672,17_B7
1064,2515273,20_C7
1065,2520677,18_D7
1066,2525104,8_E7
1067,2533189,19_D6
1068,2557265,9_A6
1069,2564741,8_C5
1070,2566406,19_D4
1071,2566406,16_C9
1072,2569004,1_B6
1073,2572469,21_C9
1074,2575092,25_F3
1075,2575092,12_C10
1076,2585044,14_G3
1077,2606816,14_H6
1078,2609259,12_D5
1079,2634808,23_D11
1080,2640773,18_G8
1081,2642631,11_B4
1082,2670142,24_F7
1083,2671298,8_D9
1084,2672220,12_E5
1085,2699408,12_B1
1086,2700929,25_G7
1087,2705819,5_C8
1088,2710278,7_C2
1089,2714584,7_G1
1090,2720118,17_H9
1091,2721505,14_G4
1092,2730993,5_B11
1093,2733292,12_F5
1094,2738523,16_D5
1095,2753061,21_B2
1096,2753061,23_G3
1097,2756510,8_H6
1098,2758058,12_F2
1099,2759760,15_G5
1100,2761334,1_H6
1101,2761479,7_G2
1102,2761479,7_F2
1103,2761479,10_B4
1104,2761479,19_A5
1105,2765503,14_H4
1106,2766800,19_C5
1107,2768473,13_D1
1108,2769023,7_C3
1109,2773648,9_F6
1110,2782246,10_G10
1111,2794641,1_C7
1112,2802317,11_H5
1113,2804139,7_A3
1114,2811778,1_D1
1115,2829284,7_D3
1116,2837342,18_G1
1117,2852348,8_A8
1118,2860177,13_G9
1119,2870264,12_H2
1120,2874619,8_C12
1121,2876361,8_C7
1122,2883355,10_H4
1123,2884700,17_B12
1124,2884963,1_D7
1125,2892236,5_F9
1126,2897446,23_F11
1127,2902274,7_E5
1128,2911308,11_D4
1129,2919640,18_F4
1130,2921356,11_D12
1131,2928527,8_A9
1132,2932924,7_H4
1133,2937314,13_E6
1134,2939120,19_B10
1135,2946713,7_G4
1136,2946713,9_G7
1137,2946713,9_H7
1138,2946713,9_A8
1139,2949255,7_B5
1140,2950038,1_E1
1141,2964228,25_D8
1142,2965215,1_F12
1143,2965215,1_G12
1144,2965215,1_H12
1145,2965215,3_D8
1146,2966732,15_H10
